Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Mar 01 2019,2458546,20.99,4.77e-08,1.88e-08
Mar 08 2019,2458553,63.03,6.92e-08,1.75e-08
Mar 15 2019,2458560,36.47,5.48e-08,1.64e-08
Mar 22 2019,2458567,46.0,6.62e-08,1.63e-08
Mar 29 2019,2458574,9.24,3.56e-08,1.79e-08
Apr 05 2019,2458580,31.21,6.85e-08,2.78e-08
Apr 12 2019,2458587,48.06,9.34e-08,2.55e-08
Apr 19 2019,2458594,14.29,4.26e-08,1.64e-08
Apr 26 2019,2458601,44.53,6.5e-08,1.71e-08
May 03 2019,2458608,154.82,1.41e-07,2.2e-08
