Source_Name,GLON,GLAT,Flux1000,Unc_Flux1000,PL_Index,Unc_PL_Index,CLASS,Redshift,SED_class,nu_syn,nuFnu_syn
4FGL J2109.6+0440,54.85074,-27.764229,2.9138206e-10,4.596873e-11,2.2485135,0.12312376,bll,-inf,,0.0,0.0
4FGL J2109.8-8618,306.41257,-29.181885,2.349341e-10,3.867296e-11,1.7617756,0.10173339,bcu,-inf,HSP,2238721100000000.0,9.0216506e-13
4FGL J2110.2-1021,39.654747,-35.48239,1.7272367e-10,4.001578e-11,2.5506694,0.13877001,fsrq,2.5004,LSP,1862087100000.0,5.566561e-13
4FGL J2110.3+0808,58.15185,-25.919186,4.7408427e-10,5.1973155e-11,2.396214,0.073695354,fsrq,1.58,LSP,5308844300000.0,4.549713e-13
4FGL J2110.3+0404,54.408962,-28.25181,2.4960756e-10,4.4381096e-11,2.0744119,0.1411449,bcu,-inf,ISP,405508530000000.0,2.3973255e-13
4FGL J2112.7+0819,58.697437,-26.309464,4.7807897e-10,5.3089158e-11,1.9069424,0.0771121,bll,-inf,HSP,1e+16,2.2904562e-12
4FGL J2114.7+3130,77.99067,-11.884299,4.3309625e-10,5.0823568e-11,2.344908,0.0858813,bcu,-inf,LSP,4168693800000.0,2.5817548e-13
4FGL J2114.8+2831,75.74165,-13.905406,2.4350927e-10,4.569882e-11,2.7117903,0.12039431,fsrq,2.345,LSP,977237250000.0,4.10653e-13
4FGL J2114.8+2026,69.391174,-19.22319,1.5986289e-10,3.7499406e-11,2.106327,0.17826295,agn,-inf,,0.0,0.0
4FGL J2115.2+1218,62.63912,-24.420252,3.530775e-10,4.5277677e-11,2.0099163,0.09651185,bll,-inf,ISP,758577600000000.0,5.0804125e-13
4FGL J2115.4+2932,76.61727,-13.320589,3.0294312e-09,1.0102284e-10,2.3304124,0.022020362,fsrq,1.514,LSP,4168693800000.0,1.1359599e-12
4FGL J2115.6-4938,349.0046,-43.361046,2.336858e-10,3.3759627e-11,2.0644326,0.11082576,bcu,-inf,,0.0,0.0
4FGL J2115.8+6753,104.739494,13.005932,1.2186291e-10,3.6045115e-11,1.8667502,0.1640096,bcu,-inf,LSP,39810720000000.0,3.1749947e-13
4FGL J2115.9-0113,50.11776,-32.31045,3.3842784e-10,4.234402e-11,2.1069314,0.09410079,bll,0.305,LSP,91201080000000.0,1.4095322e-12
4FGL J2116.2+3339,79.81749,-10.650599,3.432509e-09,1.0718359e-10,1.8997059,0.020650333,bll,0.35,ISP,794328200000000.0,3.9316514e-12
4FGL J2116.3+1015,61.010006,-25.86639,1.384639e-10,3.5442035e-11,2.4446945,0.1667861,bcu,-inf,ISP,301995160000000.0,1.3279202e-13
